DATE,CISS
1999/1/8,0.0846
1999/1/15,0.1745
1999/1/22,0.1645
1999/1/29,0.1294
1999/2/5,0.1534
1999/2/12,0.1884
1999/2/19,0.1885
1999/2/26,0.1709
1999/3/5,0.1411
1999/3/12,0.1286
1999/3/19,0.0605
1999/3/26,0.1038
1999/4/2,0.0718
1999/4/9,0.0783
1999/4/16,0.054
1999/4/23,0.0928
1999/4/30,0.0642
1999/5/7,0.0532
1999/5/14,0.0463
1999/5/21,0.0509
1999/5/28,0.0518
1999/6/4,0.044
1999/6/11,0.0509
1999/6/18,0.0453
1999/6/25,0.0401
1999/7/2,0.0382
1999/7/9,0.03
1999/7/16,0.0352
1999/7/23,0.0878
1999/7/30,0.0915
1999/8/6,0.0862
1999/8/13,0.0807
1999/8/20,0.0825
1999/8/27,0.0633
1999/9/3,0.0551
1999/9/10,0.0491
1999/9/17,0.0521
1999/9/24,0.0629
1999/10/1,0.0628
1999/10/8,0.0695
1999/10/15,0.0982
1999/10/22,0.1029
1999/10/29,0.0988
1999/11/5,0.052
1999/11/12,0.0462
1999/11/19,0.0513
1999/11/26,0.0573
1999/12/3,0.0488
1999/12/10,0.0675
1999/12/17,0.0594
1999/12/24,0.0561
1999/12/31,0.0538
2000/1/7,0.0918
2000/1/14,0.0667
2000/1/21,0.0465
2000/1/28,0.0779
2000/2/4,0.0717
2000/2/11,0.0567
2000/2/18,0.044
2000/2/25,0.0772
2000/3/3,0.0644
2000/3/10,0.0664
2000/3/17,0.0614
2000/3/24,0.0556
2000/3/31,0.0943
2000/4/7,0.0964
2000/4/14,0.1288
2000/4/21,0.1069
2000/4/28,0.1653
2000/5/5,0.191
2000/5/12,0.178
2000/5/19,0.1567
2000/5/26,0.2239
2000/6/2,0.2006
2000/6/9,0.129
2000/6/16,0.1099
2000/6/23,0.1506
2000/6/30,0.1564
2000/7/7,0.1101
2000/7/14,0.1043
2000/7/21,0.1612
2000/7/28,0.1465
2000/8/4,0.1583
2000/8/11,0.1172
2000/8/18,0.096
2000/8/25,0.0816
2000/9/1,0.1107
2000/9/8,0.1392
2000/9/15,0.1081
2000/9/22,0.1408
2000/9/29,0.101
2000/10/6,0.0975
2000/10/13,0.1539
2000/10/20,0.1772
2000/10/27,0.1639
2000/11/3,0.1085
2000/11/10,0.1133
2000/11/17,0.1065
2000/11/24,0.1299
2000/12/1,0.1607
2000/12/8,0.1205
2000/12/15,0.1347
2000/12/22,0.1442
2000/12/29,0.0873
2001/1/5,0.1737
2001/1/12,0.176
2001/1/19,0.1448
2001/1/26,0.0869
2001/2/2,0.1037
2001/2/9,0.1109
2001/2/16,0.1533
2001/2/23,0.122
2001/3/2,0.1172
2001/3/9,0.0721
2001/3/16,0.1068
2001/3/23,0.1244
2001/3/30,0.1289
2001/4/6,0.1382
2001/4/13,0.126
2001/4/20,0.1336
2001/4/27,0.1331
2001/5/4,0.0868
2001/5/11,0.0796
2001/5/18,0.0714
2001/5/25,0.0893
2001/6/1,0.0736
2001/6/8,0.0575
2001/6/15,0.0842
2001/6/22,0.0609
2001/6/29,0.1077
2001/7/6,0.117
2001/7/13,0.1344
2001/7/20,0.1519
2001/7/27,0.128
2001/8/3,0.0851
2001/8/10,0.096
2001/8/17,0.1438
2001/8/24,0.1036
2001/8/31,0.1353
2001/9/7,0.2332
2001/9/14,0.2362
2001/9/21,0.2785
2001/9/28,0.2924
2001/10/5,0.2935
2001/10/12,0.2559
2001/10/19,0.2367
2001/10/26,0.243
2001/11/2,0.2746
2001/11/9,0.2589
2001/11/16,0.2807
2001/11/23,0.2338
2001/11/30,0.214
2001/12/7,0.2464
2001/12/14,0.2171
2001/12/21,0.2206
2001/12/28,0.1512
2002/1/4,0.2157
2002/1/11,0.188
2002/1/18,0.2529
2002/1/25,0.2227
2002/2/1,0.2054
2002/2/8,0.244
2002/2/15,0.1716
2002/2/22,0.2036
2002/3/1,0.1644
2002/3/8,0.1861
2002/3/15,0.1314
2002/3/22,0.1253
2002/3/29,0.0675
2002/4/5,0.1335
2002/4/12,0.1571
2002/4/19,0.1672
2002/4/26,0.1237
2002/5/3,0.1751
2002/5/10,0.1533
2002/5/17,0.1405
2002/5/24,0.1259
2002/5/31,0.136
2002/6/7,0.1499
2002/6/14,0.1581
2002/6/21,0.145
2002/6/28,0.1095
2002/7/5,0.166
2002/7/12,0.1754
2002/7/19,0.1888
2002/7/26,0.195
2002/8/2,0.1971
2002/8/9,0.22
2002/8/16,0.1786
2002/8/23,0.2198
2002/8/30,0.2233
2002/9/6,0.202
2002/9/13,0.2363
2002/9/20,0.2292
2002/9/27,0.207
2002/10/4,0.2239
2002/10/11,0.2298
2002/10/18,0.2303
2002/10/25,0.2203
2002/11/1,0.1805
2002/11/8,0.1921
2002/11/15,0.1651
2002/11/22,0.1381
2002/11/29,0.1679
2002/12/6,0.1475
2002/12/13,0.1618
2002/12/20,0.1914
2002/12/27,0.0899
2003/1/3,0.1302
2003/1/10,0.1362
2003/1/17,0.1668
2003/1/24,0.1587
2003/1/31,0.1685
2003/2/7,0.1277
2003/2/14,0.1581
2003/2/21,0.1178
2003/2/28,0.1563
2003/3/7,0.1387
2003/3/14,0.1669
2003/3/21,0.1645
2003/3/28,0.1483
2003/4/4,0.1632
2003/4/11,0.135
2003/4/18,0.101
2003/4/25,0.1124
2003/5/2,0.0867
2003/5/9,0.1173
2003/5/16,0.0733
2003/5/23,0.1618
2003/5/30,0.1273
2003/6/6,0.1583
2003/6/13,0.1453
2003/6/20,0.159
2003/6/27,0.1157
2003/7/4,0.0825
2003/7/11,0.1336
2003/7/18,0.0797
2003/7/25,0.0639
2003/8/1,0.0638
2003/8/8,0.0632
2003/8/15,0.0739
2003/8/22,0.1503
2003/8/29,0.098
2003/9/5,0.0826
2003/9/12,0.0708
2003/9/19,0.0787
2003/9/26,0.0819
2003/10/3,0.1183
2003/10/10,0.1023
2003/10/17,0.0793
2003/10/24,0.0722
2003/10/31,0.0739
2003/11/7,0.082
2003/11/14,0.0586
2003/11/21,0.0579
2003/11/28,0.07
2003/12/5,0.0583
2003/12/12,0.0526
2003/12/19,0.0392
2003/12/26,0.0341
2004/1/2,0.0551
2004/1/9,0.122
2004/1/16,0.0998
2004/1/23,0.083
2004/1/30,0.0673
2004/2/6,0.0531
2004/2/13,0.072
2004/2/20,0.071
2004/2/27,0.0719
2004/3/5,0.0973
2004/3/12,0.0933
2004/3/19,0.084
2004/3/26,0.0822
2004/4/2,0.0773
2004/4/9,0.093
2004/4/16,0.0809
2004/4/23,0.0731
2004/4/30,0.0773
2004/5/7,0.0647
2004/5/14,0.0902
2004/5/21,0.0675
2004/5/28,0.0525
2004/6/4,0.0482
2004/6/11,0.0479
2004/6/18,0.0439
2004/6/25,0.0334
2004/7/2,0.0372
2004/7/9,0.0281
2004/7/16,0.0398
2004/7/23,0.0688
2004/7/30,0.0819
2004/8/6,0.0869
2004/8/13,0.0626
2004/8/20,0.0429
2004/8/27,0.0716
2004/9/3,0.0797
2004/9/10,0.068
2004/9/17,0.0648
2004/9/24,0.0595
2004/10/1,0.0807
2004/10/8,0.0525
2004/10/15,0.0714
2004/10/22,0.0675
2004/10/29,0.0649
2004/11/5,0.062
2004/11/12,0.0525
2004/11/19,0.0512
2004/11/26,0.0433
2004/12/3,0.0592
2004/12/10,0.0487
2004/12/17,0.0544
2004/12/24,0.0472
