Date,h=1,h=3,h=12
7/1960,0.610662795,0.740907515,0.867920003
8/1960,0.618104656,0.746614892,0.869920627
9/1960,0.624715015,0.75254763,0.8742582
10/1960,0.634441495,0.761047632,0.87897395
11/1960,0.658984392,0.778416365,0.886803795
12/1960,0.67326942,0.791129375,0.894815455
1/1961,0.664435704,0.790024358,0.898417892
2/1961,0.660112592,0.788561983,0.900757681
3/1961,0.659951174,0.786730052,0.898714696
4/1961,0.664245438,0.785518481,0.893917805
5/1961,0.648795819,0.775047282,0.890015696
6/1961,0.638975942,0.768624574,0.88727773
7/1961,0.624229723,0.759920141,0.884901105
8/1961,0.618457477,0.756034606,0.883269258
9/1961,0.621087018,0.7544513,0.878597441
10/1961,0.620374306,0.750744764,0.873508246
11/1961,0.615395407,0.74506761,0.868172446
12/1961,0.605069842,0.738254881,0.864018263
1/1962,0.609824424,0.741798373,0.863877154
2/1962,0.605962716,0.74088855,0.862303099
3/1962,0.596179038,0.733076788,0.858531242
4/1962,0.597325575,0.732036689,0.855095529
5/1962,0.597117339,0.731270075,0.853823764
6/1962,0.593084739,0.728030825,0.850911954
7/1962,0.58382623,0.717696668,0.844882114
8/1962,0.571852598,0.706048411,0.83726464
9/1962,0.565983489,0.699350032,0.830584688
10/1962,0.56194694,0.693698099,0.825016421
11/1962,0.558971198,0.687983441,0.818529071
12/1962,0.555279068,0.681231459,0.812556018
1/1963,0.55433891,0.676312382,0.808173727
2/1963,0.548378566,0.669492372,0.803997838
3/1963,0.53942818,0.663202604,0.801910743
4/1963,0.544310016,0.666125079,0.803021666
5/1963,0.542302407,0.664047324,0.802718753
6/1963,0.538668107,0.661985343,0.802767664
7/1963,0.536556905,0.661037129,0.803938651
8/1963,0.537966013,0.663969115,0.806492097
9/1963,0.538742739,0.665253489,0.806614391
10/1963,0.535644624,0.663526167,0.806268348
11/1963,0.539913876,0.667737435,0.807979746
12/1963,0.549025273,0.672831128,0.808993473
1/1964,0.555943233,0.675781923,0.809318158
2/1964,0.551349773,0.672469728,0.808381605
3/1964,0.546057554,0.667485189,0.807424091
4/1964,0.555243783,0.672553756,0.809530445
5/1964,0.542397866,0.66650882,0.81004036
6/1964,0.539567021,0.667073991,0.813042254
7/1964,0.5464262,0.675568468,0.81959822
8/1964,0.560912761,0.68901618,0.826900926
9/1964,0.585294119,0.71052826,0.837014868
10/1964,0.626561422,0.742581953,0.850066477
11/1964,0.639431534,0.754945726,0.856454264
12/1964,0.612101771,0.733792656,0.846817876
1/1965,0.586799412,0.713398676,0.837295951
2/1965,0.567559394,0.698386274,0.830020405
3/1965,0.557405108,0.68959017,0.825184915
4/1965,0.5544948,0.686144025,0.822134945
5/1965,0.548826267,0.681916674,0.819905252
6/1965,0.549898718,0.683984467,0.820518405
7/1965,0.55623627,0.68806569,0.821725903
