Month,Efina,Volume,Turnover,Voli,TMC,NLC,IndexSH,IndexSZ
2006.01,,74509,3561,7135,34932,,1272,305
2006.02,,75343,3642,7165,35766,,1343,324
2006.03,,83192,3991,7185,35342,,1338,324
2006.04,,138343,7158,7212,37769,,1439,351
2006.05,,188673,10728,7243,43210,,1641,404
2006.06,,159747,8994,7367,44201,,1686,432
2006.07,,139333,8095,9261,47460,,1771,446
2006.08,,101181,5449,9540,49610,,1686,417
2006.09,,120599,6598,9597,52283,,1781,443
2006.1,,120800,6644,12370,62026,,1889,461
2006.11,,173065,10280,12435,70853,,2068,477
2006.12,,239738,15329,12655,89404,,2515,538
2007.01,,345419,25560,12920,105643,,2949,652
2007.02,,221080,17456,13010,112870,,2936,734
2007.03,,367784,32016,13095,128033,,3151,809
2007.04,,441880,49123,13531,160930,,3703,990
2007.05,,432855,58945,13898,177740,,4288,1234
2007.06,,403281,54080,14092,166233,,4047,1179
2007.07,,256367,33056,14275,199192,,4217,1197
2007.08,,361099,54644,14345,233087,,4996,1413
2007.09,,288017,46288,14618,253157,,5556,1531
2007.1,,194798,35139,14850,280236,,6082,1531
2007.11,,147263,25179,16531,289885,,5660,1404
2007.12,,180533,29070,16955,327141,,5317,1409
2008.01,,264589,46530,17017,277855,,5171,1523
2008.02,,125809,21112,17154,281633,,4627,1411
2008.03,,186617,28532,17379,226789,,4107,1306
2008.04,,196950,26901,17792,240244,,3513,1036
2008.05,,211617,29467,18118,224867,,3736,1141
2008.06,,151599,16863,18277,178035,,3240,944
2008.07,,221600,23260,18402,181885,,2894,870
2008.08,,135577,11809,18563,155435,,2684,772
2008.09,,151930,11542,18653,148164,,2196,618
2008.1,,149943,10396,18700,112068,,2065,560
2008.11,,270626,17112,18707,122484,,1959,537
2008.12,,346282,23588,18852,121366,,2056,611
2009.01,,204209,14917,18869,133095,,2028,617
2009.02,,496029,40390,18894,140389,,2304,728
2009.03,,430171,37555,18900,161474,,2325,755
2009.04,,481836,45740,19026,169253,,2578,863
2009.05,,377627,37076,19159,179787,,2716,915
2009.06,,445417,46179,19399,201448,,2974,978
2009.07,,618641,70896,19841,235735,,3360,1102
2009.08,,434935,50538,19924,187095,,3223,1081
