DATE,CMT_1MONTH,CMT_3MONTH,CMT_6MONTH,CMT_1YEAR,CMT_2YEAR,CMT_3YEAR,CMT_5YEAR,CMT_7YEAR,CMT_10YEAR,CMT_20YEAR,CMT_30YEAR,CMT_30YEARDISPLAY
2006/1/3,4.050000191,4.159999847,4.400000095,4.380000114,4.340000153,4.300000191,4.300000191,4.320000172,4.369999886,4.619999886,,0
2006/1/4,4.03000021,4.190000057,4.369999886,4.349999905,4.309999943,4.28000021,4.28000021,4.309999943,4.360000134,4.599999905,,0
2006/1/5,4.050000191,4.199999809,4.369999886,4.360000134,4.320000172,4.289999962,4.289999962,4.309999943,4.360000134,4.610000134,,0
2006/1/6,4.059999943,4.21999979,4.389999866,4.380000114,4.360000134,4.320000172,4.320000172,4.329999924,4.380000114,4.630000114,,0
2006/1/9,4.090000153,4.230000019,4.400000095,4.389999866,4.360000134,4.320000172,4.320000172,4.340000153,4.380000114,4.630000114,,0
2006/1/10,4.150000095,4.289999962,4.420000076,4.420000076,4.409999847,4.360000134,4.360000134,4.380000114,4.429999828,4.679999828,,0
2006/1/11,4.159999847,4.300000191,4.449999809,4.440000057,4.440000057,4.389999866,4.389999866,4.409999847,4.460000038,4.699999809,,0
2006/1/12,4.159999847,4.320000172,4.429999828,4.420000076,4.389999866,4.349999905,4.349999905,4.369999886,4.420000076,4.659999847,,0
2006/1/13,4.130000114,4.329999924,4.429999828,4.400000095,4.340000153,4.289999962,4.28000021,4.300000191,4.360000134,4.590000153,,0
2006/1/17,4.110000134,4.380000114,4.46999979,4.420000076,4.329999924,4.28000021,4.269999981,4.289999962,4.340000153,4.570000172,,0
2006/1/18,4.039999962,4.349999905,4.460000038,4.420000076,4.329999924,4.289999962,4.28000021,4.300000191,4.340000153,4.579999924,,0
2006/1/19,3.980000019,4.349999905,4.46999979,4.429999828,4.369999886,4.320000172,4.309999943,4.329999924,4.380000114,4.610000134,,0
2006/1/20,3.950000048,4.349999905,4.480000019,4.440000057,4.369999886,4.320000172,4.309999943,4.320000172,4.369999886,4.590000153,,0
2006/1/23,3.980000019,4.380000114,4.5,4.449999809,4.349999905,4.309999943,4.300000191,4.309999943,4.360000134,4.590000153,,0
2006/1/24,4.239999771,4.400000095,4.510000229,4.460000038,4.369999886,4.329999924,4.320000172,4.340000153,4.400000095,4.630000114,,0
2006/1/25,4.21999979,4.420000076,4.539999962,4.510000229,4.460000038,4.409999847,4.409999847,4.429999828,4.489999771,4.71999979,,0
2006/1/26,4.170000076,4.449999809,4.539999962,4.519999981,4.489999771,4.449999809,4.440000057,4.460000038,4.53000021,4.760000229,,0
2006/1/27,4.190000057,4.449999809,4.550000191,4.539999962,4.510000229,4.460000038,4.449999809,4.46999979,4.519999981,4.75,,0
2006/1/30,4.179999828,4.480000019,4.619999886,4.590000153,4.519999981,4.46999979,4.460000038,4.489999771,4.539999962,4.769999981,,0
2006/1/31,4.369999886,4.46999979,4.590000153,4.579999924,4.539999962,4.489999771,4.46999979,4.489999771,4.53000021,4.739999771,,0
2006/2/1,4.329999924,4.46999979,4.599999905,4.599999905,4.590000153,4.539999962,4.510000229,4.519999981,4.570000172,4.769999981,,0
2006/2/2,4.320000172,4.480000019,4.619999886,4.610000134,4.590000153,4.539999962,4.510000229,4.53000021,4.570000172,4.760000229,,0
2006/2/3,4.309999943,4.480000019,4.630000114,4.619999886,4.590000153,4.539999962,4.5,4.510000229,4.539999962,4.699999809,,0
2006/2/6,4.320000172,4.480000019,4.679999828,4.659999847,4.619999886,4.570000172,4.510000229,4.519999981,4.550000191,4.690000057,,0
2006/2/7,4.329999924,4.489999771,4.670000076,4.650000095,4.610000134,4.570000172,4.519999981,4.539999962,4.570000172,4.730000019,,0
2006/2/8,4.340000153,4.5,4.670000076,4.659999847,4.639999866,4.610000134,4.550000191,4.550000191,4.559999943,4.75,,0
2006/2/9,4.320000172,4.519999981,4.670000076,4.659999847,4.659999847,4.619999886,4.550000191,4.550000191,4.539999962,4.71999979,4.5100002288818359,0
2006/2/10,4.360000134,4.53000021,4.699999809,4.699999809,4.690000057,4.670000076,4.590000153,4.590000153,4.590000153,4.760000229,4.5500001907348633,0
2006/2/13,4.380000114,4.550000191,4.710000038,4.699999809,4.679999828,4.659999847,4.579999924,4.579999924,4.579999924,4.760000229,4.559999942779541,0
2006/2/14,4.420000076,4.550000191,4.71999979,4.710000038,4.690000057,4.679999828,4.610000134,4.610000134,4.619999886,4.800000191,4.5999999046325684,0
2006/2/15,4.389999866,4.550000191,4.699999809,4.699999809,4.710000038,4.679999828,4.599999905,4.599999905,4.610000134,4.78000021,4.5799999237060547,0
2006/2/16,4.380000114,4.550000191,4.690000057,4.690000057,4.690000057,4.670000076,4.590000153,4.590000153,4.590000153,4.769999981,4.570000171661377,0
2006/2/17,4.389999866,4.539999962,4.690000057,4.679999828,4.659999847,4.639999866,4.550000191,4.539999962,4.539999962,4.710000038,4.5100002288818359,0
2006/2/21,4.420000076,4.559999943,4.730000019,4.730000019,4.710000038,4.679999828,4.590000153,4.579999924,4.570000172,4.71999979,4.53000020980835,0
2006/2/22,4.440000057,4.570000172,4.699999809,4.690000057,4.679999828,4.659999847,4.570000172,4.550000191,4.53000021,4.679999828,4.4800000190734863,0
2006/2/23,4.440000057,4.590000153,4.730000019,4.730000019,4.71999979,4.699999809,4.630000114,4.579999924,4.559999943,4.699999809,4.5100002288818359,0
2006/2/24,4.449999809,4.599999905,4.730000019,4.730000019,4.739999771,4.699999809,4.639999866,4.599999905,4.579999924,4.710000038,4.5199999809265137,0
2006/2/27,4.480000019,4.619999886,4.760000229,4.760000229,4.739999771,4.710000038,4.659999847,4.610000134,4.590000153,4.739999771,4.5500001907348633,0
2006/2/28,4.46999979,4.619999886,4.739999771,4.730000019,4.690000057,4.670000076,4.610000134,4.570000172,4.550000191,4.699999809,4.5100002288818359,0
2006/3/1,4.449999809,4.599999905,4.75,4.739999771,4.710000038,4.679999828,4.630000114,4.599999905,4.590000153,4.739999771,4.559999942779541,0
2006/3/2,4.449999809,4.619999886,4.75,4.739999771,4.71999979,4.71999979,4.679999828,4.659999847,4.639999866,4.800000191,4.619999885559082,0
2006/3/3,4.449999809,4.619999886,4.75,4.75,4.760000229,4.75,4.710000038,4.690000057,4.679999828,4.840000153,4.6599998474121094,0
2006/3/6,4.440000057,4.599999905,4.769999981,4.769999981,4.769999981,4.769999981,4.760000229,4.739999771,4.739999771,4.909999847,4.71999979019165,0
2006/3/7,4.46999979,4.599999905,4.769999981,4.769999981,4.769999981,4.789999962,4.760000229,4.75,4.739999771,4.909999847,4.71999979019165,0
2006/3/8,4.449999809,4.579999924,4.769999981,4.760000229,4.71999979,4.769999981,4.75,4.739999771,4.730000019,4.909999847,4.71999979019165,0
2006/3/9,4.440000057,4.599999905,4.769999981,4.760000229,4.71999979,4.769999981,4.75,4.739999771,4.739999771,4.909999847,4.71999979019165,0
2006/3/10,4.460000038,4.619999886,4.78000021,4.769999981,4.739999771,4.800000191,4.769999981,4.760000229,4.760000229,4.929999828,4.7399997711181641,0
2006/3/13,4.449999809,4.610000134,4.829999924,4.800000191,4.739999771,4.809999943,4.78000021,4.78000021,4.769999981,4.949999809,4.7699999809265137,0
2006/3/14,4.489999771,4.590000153,4.800000191,4.75,4.659999847,4.71999979,4.679999828,4.690000057,4.710000038,4.889999866,4.7100000381469727,0
2006/3/15,4.5,4.630000114,4.809999943,4.769999981,4.690000057,4.71999979,4.690000057,4.699999809,4.730000019,4.929999828,4.75,0
2006/3/16,4.489999771,4.619999886,4.769999981,4.71999979,4.619999886,4.619999886,4.599999905,4.610000134,4.650000095,4.860000134,4.6999998092651367,0
2006/3/17,4.5,4.639999866,4.78000021,4.739999771,4.650000095,4.639999866,4.619999886,4.630000114,4.679999828,4.889999866,4.71999979019165,0
2006/3/20,4.559999943,4.659999847,4.789999962,4.739999771,4.650000095,4.619999886,4.610000134,4.619999886,4.659999847,4.869999886,4.6999998092651367,0
