DATE,KOF,Uncertainty,R3M,R6M,R1Y,R3Y,R5Y,R7Y,R10,R30
2006/3/1,269.9596214,111.2079753,1.505,1.5891,1.68,2.0052,2.364,2.65,2.9,3.5
2006/3/2,652.7388202,304.364435,1.465,1.52,1.69,2.02,2.44,2.66,2.9,3.51
2006/3/3,83.59273511,71.01723033,1.455,1.51,1.68,2,2.42,2.64,2.87,3.5
2006/3/6,742.2814603,364.8003666,1.5,1.56,1.73,2.04,2.46,2.68,2.93,3.54
2006/3/7,780.9546191,321.7087858,1.465,1.53,1.71,2.02,2.43,2.65,2.9,3.52
2006/3/8,238.9806485,98.44640441,1.45,1.52,1.69,2.01,2.4,2.61,2.88,3.48
2006/3/9,90.16744461,76.60285519,1.455,1.53,1.68,2.01,2.39,2.61,2.88,3.48
2006/3/10,211.2727472,87.03232853,1.46,1.53,1.67,2.02,2.4,2.61,2.89,3.48
2006/3/13,339.0190595,139.6565272,1.47,1.54,1.68,2.03,2.41,2.61,2.9,3.48
2006/3/14,139.6565272,339.0190595,1.48,1.55,1.69,2.02,2.4,2.61,2.9,3.49
2006/3/15,96.68557314,82.14041099,1.5,1.57,1.71,2.03,2.4,2.6,2.91,3.5
2006/3/16,606.0077167,287.0007591,1.51,1.58,1.72,2.02,2.39,2.6,2.91,3.51
2006/3/17,308.2562616,166.6659482,1.49,1.56,1.7,2.01,2.37,2.59,2.92,3.5
2006/3/20,166.6659482,308.2562616,1.51,1.58,1.71,2.02,2.38,2.6,2.93,3.52
2006/3/21,102.8833663,87.40582195,1.5,1.57,1.7,2.01,2.37,2.59,2.92,3.51
2006/3/22,91.71317224,77.91604699,1.515,1.58,1.71,2.03,2.385,2.6,2.93,3.52
2006/3/23,331.1494018,175.0064538,1.51,1.6,1.69,2.1,2.49,2.71,2.912,3.53
2006/3/24,355.5565746,146.4690407,1.49,1.58,1.68,2.0898,2.48,2.723,2.9,3.52
2006/3/27,1217.364659,552.7527534,1.5,1.61,1.7141,2.15,2.5537,2.66,2.92,3.52
2006/3/28,227.7784306,93.8317292,1.4856,1.6,1.7003,2.1058,2.5631,2.65,2.92,3.52
2006/3/29,93.8317292,227.7784306,1.4932,1.62,1.7029,2.19,2.5605,2.67,2.94,3.5
2006/3/30,146.6162175,172.5785499,1.51,1.64,1.72,2.1404,2.4655,2.67,2.94,3.5
2006/3/31,172.5785499,146.6162175,1.5095,1.64,1.71,2.1355,2.5669,2.68,2.94,3.5
2006/4/3,105.5908233,89.70597515,1.5023,1.64,1.72,1.9968,2.4687,2.6847,2.92,3.52
2006/4/4,89.70597515,105.5908233,1.4889,1.6154,1.7254,2.0001,2.4804,2.722,2.92,3.53
2006/4/5,91.19207467,77.47334218,1.485,1.6,1.702,2.1657,2.4963,2.67,2.91,3.51
2006/4/6,266.0188697,225.9995838,1.4725,1.58,1.6916,2.1731,2.4873,2.67,2.94,3.5
